,GENE NAME,GENE ID
15470,SOD1,ENSG00000142168
15471,SOD2,ENSG00000112096
15472,SOD3,ENSG00000109610
15473,SOGA1,ENSG00000149639
15474,SOGA3,ENSG00000214338
15475,SOHLH1,ENSG00000165643
15476,SOHLH2,ENSG00000120669
15477,SON,ENSG00000159140
15478,SORBS1,ENSG00000095637
15479,SORBS2,ENSG00000154556
15480,SORBS3,ENSG00000120896
15481,SORCS1,ENSG00000108018
15482,SORCS2,ENSG00000184985
15483,SORCS3,ENSG00000156395
15484,SORD,ENSG00000140263
15485,SORL1,ENSG00000137642
15486,SORT1,ENSG00000134243
15487,SOS1,ENSG00000115904
15488,SOS2,ENSG00000100485
15489,SOST,ENSG00000167941
15490,SOSTDC1,ENSG00000171243
15491,SOWAHA,ENSG00000198944
15492,SOWAHB,ENSG00000186212
15493,SOWAHC,ENSG00000198142
15494,SOWAHD,ENSG00000187808
15495,SOX1,ENSG00000182968
15496,SOX2,ENSG00000181449
15497,SOX3,ENSG00000134595
15498,SOX4,ENSG00000124766
15499,SOX5,ENSG00000134532
15500,SOX6,ENSG00000110693
15501,SOX7,ENSG00000171056
15502,SOX8,ENSG00000005513
15503,SOX9,ENSG00000125398
15504,SOX10,ENSG00000100146
15505,SOX11,ENSG00000176887
15506,SOX12,ENSG00000177732
15507,SOX13,ENSG00000143842
15508,SOX14,ENSG00000168875
15509,SOX15,ENSG00000129194
15510,SOX17,ENSG00000164736
15511,SOX18,ENSG00000203883
15512,SOX21,ENSG00000125285
15513,SOX30,ENSG00000039600
15514,SP1,ENSG00000185591
15515,SP2,ENSG00000167182
15516,SP3,ENSG00000172845
15517,SP4,ENSG00000105866
15518,SP5,ENSG00000204335
15519,SP6,ENSG00000189120
15520,SP7,ENSG00000170374
15521,SP8,ENSG00000164651
15522,SP9,ENSG00000217236
15523,SP100,ENSG00000067066
15524,SP110,ENSG00000135899
15525,SP140,ENSG00000079263
15526,SP140L,ENSG00000185404
15527,SPA17,ENSG00000064199
15528,SPAAR,ENSG00000235387
15529,SPACA1,ENSG00000118434
15530,SPACA3,ENSG00000141316
15531,SPACA4,ENSG00000177202
15532,SPACA5,ENSG00000171489
15533,SPACA5B,ENSG00000171478
15534,SPACA6,ENSG00000182310
15535,SPACA7,ENSG00000153498
15536,SPACA9,ENSG00000165698
15537,SPACDR,ENSG00000185955
15538,SPADH,ENSG00000286135
15539,SPAG1,ENSG00000104450
15540,SPAG4,ENSG00000061656
15541,SPAG5,ENSG00000076382
15542,SPAG6,ENSG00000077327
15543,SPAG7,ENSG00000091640
15544,SPAG8,ENSG00000137098
15545,SPAG9,ENSG00000008294
15546,SPAG11A,ENSG00000178287
15547,SPAG11B,ENSG00000164871
15548,SPAG16,ENSG00000144451
15549,SPAG17,ENSG00000155761
15550,SPAM1,ENSG00000106304
15551,SPANXA1,ENSG00000198021
15552,SPANXA2,ENSG00000203926
15553,SPANXB1,ENSG00000227234
15554,SPANXC,ENSG00000198573
15555,SPANXD,ENSG00000196406
15556,SPANXN1,ENSG00000203923
15557,SPANXN2,ENSG00000268988
15558,SPANXN3,ENSG00000189252
15559,SPANXN4,ENSG00000189326
15560,SPANXN5,ENSG00000204363
15561,SPARC,ENSG00000113140
15562,SPARCL1,ENSG00000152583
15563,SPART,ENSG00000133104
15564,SPAST,ENSG00000021574
15565,SPATA1,ENSG00000122432
15566,SPATA2,ENSG00000158480
15567,SPATA2L,ENSG00000158792
15568,SPATA3,ENSG00000173699
15569,SPATA4,ENSG00000150628
15570,SPATA5,ENSG00000145375
15571,SPATA5L1,ENSG00000171763
15572,SPATA6,ENSG00000132122
15573,SPATA6L,ENSG00000106686
15574,SPATA7,ENSG00000042317
15575,SPATA9,ENSG00000145757
15576,SPATA12,ENSG00000186451
15577,SPATA13,ENSG00000182957
15578,SPATA16,ENSG00000144962
15579,SPATA17,ENSG00000162814
15580,SPATA18,ENSG00000163071
15581,SPATA19,ENSG00000166118
15582,SPATA20,ENSG00000006282
15583,SPATA21,ENSG00000187144
15584,SPATA22,ENSG00000141255
15585,SPATA24,ENSG00000170469
15586,SPATA25,ENSG00000149634
15587,SPATA31A1,ENSG00000204849
15588,SPATA31A3,ENSG00000275969
15589,SPATA31A5,ENSG00000276581
15590,SPATA31A6,ENSG00000185775
15591,SPATA31A7,ENSG00000276040
15592,SPATA31C1,ENSG00000230246
15593,SPATA31C2,ENSG00000177910
15594,SPATA31D1,ENSG00000214929
15595,SPATA31D3,ENSG00000186788
15596,SPATA31D4,ENSG00000189357
15597,SPATA31E1,ENSG00000177992
15598,SPATA32,ENSG00000184361
15599,SPATA33,ENSG00000167523
15600,SPATA45,ENSG00000185523
15601,SPATA46,ENSG00000171722
15602,SPATA48,ENSG00000164500
15603,SPATC1,ENSG00000186583
15604,SPATC1L,ENSG00000160284
15605,SPATS1,ENSG00000249481
15606,SPATS2,ENSG00000123352
15607,SPATS2L,ENSG00000196141
15608,SPC24,ENSG00000161888
15609,SPC25,ENSG00000152253
15610,SPCS1,ENSG00000114902
15611,SPCS2,ENSG00000118363
15612,SPCS3,ENSG00000129128
15613,SPDEF,ENSG00000124664
15614,SPDL1,ENSG00000040275
15615,SPDYA,ENSG00000163806
15616,SPDYC,ENSG00000204710
15617,SPDYE1,ENSG00000136206
15618,SPDYE2,ENSG00000205238
15619,SPDYE2B,ENSG00000173678
15620,SPDYE3,ENSG00000214300
15621,SPDYE4,ENSG00000183318
15622,SPDYE5,ENSG00000170092
15623,SPDYE6,ENSG00000260097
15624,SPDYE8,ENSG00000273520
15625,SPDYE9,ENSG00000262461
15626,SPDYE10,ENSG00000274570
15627,SPDYE11,ENSG00000286228
15628,SPDYE12,ENSG00000184616
15629,SPDYE13,ENSG00000286038
15630,SPDYE14,ENSG00000286137
15631,SPDYE15,ENSG00000286014
15632,SPDYE16,ENSG00000185040
15633,SPDYE17,ENSG00000186645
15634,SPDYE18,ENSG00000205482
15635,SPDYE21,ENSG00000230358
15636,SPECC1,ENSG00000128487
15637,SPECC1L,ENSG00000100014
15638,SPEF1,ENSG00000101222
15639,SPEF2,ENSG00000152582
15640,SPEG,ENSG00000072195
15641,SPEGNB,ENSG00000286095
15642,SPEM1,ENSG00000181323
15643,SPEM2,ENSG00000184560
15644,SPEM3,ENSG00000283439
15645,SPEN,ENSG00000065526
15646,SPESP1,ENSG00000258484
15647,SPG7,ENSG00000197912
15648,SPG11,ENSG00000104133
15649,SPG21,ENSG00000090487
15650,SPHK1,ENSG00000176170
15651,SPHK2,ENSG00000063176
15652,SPHKAP,ENSG00000153820
15653,SPI1,ENSG00000066336
15654,SPIB,ENSG00000269404
15655,SPIC,ENSG00000166211
15656,SPICE1,ENSG00000163611
15657,SPIDR,ENSG00000164808
15658,SPIN1,ENSG00000106723
15659,SPIN2A,ENSG00000147059
15660,SPIN2B,ENSG00000186787
15661,SPIN3,ENSG00000204271
15662,SPIN4,ENSG00000186767
15663,SPINDOC,ENSG00000168005
15664,SPINK1,ENSG00000164266
15665,SPINK2,ENSG00000128040
15666,SPINK4,ENSG00000122711
15667,SPINK5,ENSG00000133710
15668,SPINK6,ENSG00000178172
15669,SPINK7,ENSG00000145879
15670,SPINK8,ENSG00000229453
15671,SPINK9,ENSG00000204909
