,GENE NAME,GENE ID
0,A1BG,ENSG00000121410
1,A1CF,ENSG00000148584
2,A2M,ENSG00000175899
3,A2ML1,ENSG00000166535
4,A3GALT2,ENSG00000184389
5,A4GALT,ENSG00000128274
6,A4GNT,ENSG00000118017
7,AAAS,ENSG00000094914
8,AACS,ENSG00000081760
9,AADAC,ENSG00000114771
10,AADACL2,ENSG00000197953
11,AADACL3,ENSG00000188984
12,AADACL4,ENSG00000204518
13,AADAT,ENSG00000109576
14,AAGAB,ENSG00000103591
15,AAK1,ENSG00000115977
16,AAMDC,ENSG00000087884
17,AAMP,ENSG00000127837
18,AANAT,ENSG00000129673
19,AAR2,ENSG00000131043
20,AARD,ENSG00000205002
21,AARS1,ENSG00000090861
22,AARS2,ENSG00000124608
23,AARSD1,ENSG00000266967
24,AASDH,ENSG00000157426
25,AASDHPPT,ENSG00000149313
26,AASS,ENSG00000008311
27,AATF,ENSG00000275700
28,AATK,ENSG00000181409
29,ABAT,ENSG00000183044
30,ABCA1,ENSG00000165029
31,ABCA2,ENSG00000107331
32,ABCA3,ENSG00000167972
33,ABCA4,ENSG00000198691
34,ABCA5,ENSG00000154265
35,ABCA6,ENSG00000154262
36,ABCA7,ENSG00000064687
37,ABCA8,ENSG00000141338
38,ABCA9,ENSG00000154258
39,ABCA10,ENSG00000154263
40,ABCA12,ENSG00000144452
41,ABCA13,ENSG00000179869
42,ABCB1,ENSG00000085563
43,ABCB4,ENSG00000005471
44,ABCB5,ENSG00000004846
45,ABCB6,ENSG00000115657
46,ABCB7,ENSG00000131269
47,ABCB8,ENSG00000197150
48,ABCB9,ENSG00000150967
49,ABCB10,ENSG00000135776
50,ABCB11,ENSG00000073734
51,ABCC1,ENSG00000103222
52,ABCC2,ENSG00000023839
53,ABCC3,ENSG00000108846
54,ABCC4,ENSG00000125257
55,ABCC5,ENSG00000114770
56,ABCC6,ENSG00000091262
57,ABCC8,ENSG00000006071
58,ABCC9,ENSG00000069431
59,ABCC10,ENSG00000124574
60,ABCC11,ENSG00000121270
61,ABCC12,ENSG00000140798
62,ABCD1,ENSG00000101986
63,ABCD2,ENSG00000173208
64,ABCD3,ENSG00000117528
65,ABCD4,ENSG00000119688
66,ABCE1,ENSG00000164163
67,ABCF1,ENSG00000204574
68,ABCF2,ENSG00000033050
69,ABCF3,ENSG00000161204
70,ABCG1,ENSG00000160179
71,ABCG2,ENSG00000118777
72,ABCG4,ENSG00000172350
73,ABCG5,ENSG00000138075
74,ABCG8,ENSG00000143921
75,ABHD1,ENSG00000143994
76,ABHD2,ENSG00000140526
77,ABHD3,ENSG00000158201
78,ABHD4,ENSG00000100439
79,ABHD5,ENSG00000011198
80,ABHD6,ENSG00000163686
81,ABHD8,ENSG00000127220
82,ABHD10,ENSG00000144827
83,ABHD11,ENSG00000106077
84,ABHD12,ENSG00000100997
85,ABHD12B,ENSG00000131969
86,ABHD13,ENSG00000139826
87,ABHD14A,ENSG00000248487
88,ABHD14B,ENSG00000114779
89,ABHD15,ENSG00000168792
90,ABHD16A,ENSG00000204427
91,ABHD16B,ENSG00000183260
92,ABHD17A,ENSG00000129968
93,ABHD17B,ENSG00000107362
94,ABHD17C,ENSG00000136379
95,ABHD18,ENSG00000164074
96,ABI1,ENSG00000136754
97,ABI2,ENSG00000138443
98,ABI3,ENSG00000108798
99,ABI3BP,ENSG00000154175
100,ABITRAM,ENSG00000119328
101,ABL1,ENSG00000097007
102,ABL2,ENSG00000143322
103,ABLIM1,ENSG00000099204
